release_date,en-dan
1949-03-31,0.5324909747292419
1949-06-30,0.3014769713762472
1949-09-30,0.45804988662131524
1949-12-31,0.450191570881226
1950-03-31,0.6602398737101495
1950-06-30,0.6710875331564987
1950-09-30,0.3973941368078176
1950-12-31,0.5285555913170976
1951-03-31,0.5143058127682789
1951-06-30,0.2259515570934256
1951-09-30,0.32162162162162167
1951-12-31,0.5551851017496434
1952-03-31,0.48355263157894735
1952-06-30,0.5776531040268456
1952-09-30,0.2568306010928962
1952-12-31,0.527769013520897
1953-03-31,0.5459272097053726
1953-06-30,0.6496251958416648
1953-09-30,0.6508641835540964
1953-12-31,0.5952080706179067
1954-03-31,0.5009416195856874
1954-06-30,0.4578561945066799
1954-09-30,0.5298338076451741
1954-12-31,0.6181318681318682
1955-03-31,0.488456865127582
1955-06-30,0.5852934174503035
1955-09-30,0.5944924942837261
1955-12-31,0.7966417910447763
1956-03-31,0.5682371422910357
1956-06-30,0.6029411764705882
1956-09-30,0.555714374980473
1956-12-31,0.6733067729083665
1957-03-31,0.5183374083129585
1957-06-30,0.5502051910675265
1957-09-30,0.537254901960784
1957-12-31,0.5359090299208373
1958-03-31,0.5778653488511607
1958-06-30,0.8084956551779119
1958-09-30,0.697107438016529
1958-12-31,0.6495689989904481
1959-03-31,0.6050420168067228
1959-06-30,0.5924242424242424
1959-09-30,0.6048387096774194
1959-12-31,0.6583028290456379
1960-03-31,0.6799290350973705
1960-06-30,0.6581791742329424
1960-09-30,0.5593653124490129
1960-12-31,0.7194942381562099
1961-03-31,0.6373912719452338
1961-06-30,0.7853670061099797
1961-09-30,0.679376038796931
1961-12-31,0.6854782608695653
1962-03-31,0.7268328259766617
1962-06-30,0.7821629106912512
1962-09-30,0.7025210084033614
1962-12-31,0.7639751552795032
1963-03-31,0.6680122199592669
1963-06-30,0.48501287453183517
1963-09-30,0.7751396648044694
1963-12-31,0.7781456953642384
1964-03-31,0.6629392971246006
1964-06-30,0.7397045064712303
1964-09-30,0.7303294973197887
1964-12-31,0.8957345971563981
1965-03-31,0.8004115226337449
1965-06-30,0.8572995350996055
1965-09-30,0.8811340752517223
1965-12-31,0.982332155477032
1966-03-31,0.8599167822468794
1966-06-30,0.9920844327176781
1966-09-30,0.9999348576639957
1966-12-31,0.8316021046901931
1967-03-31,0.8446215139442231
1967-06-30,0.9584615384615385
1967-09-30,0.9078014184397164
1967-12-31,0.9490183138096024
1968-03-31,0.8792557249633436
1968-06-30,0.838287037037037
1968-09-30,0.9223387082468557
1968-12-31,0.9571280991735537
1969-03-31,0.9708105528074286
1969-06-30,0.8881239242685026
1969-09-30,0.94676040942065
1969-12-31,1.1354166666666665
1970-03-31,0.8846815834767643
1970-06-30,0.9482517482517482
1970-09-30,1.1514136326995468
1970-12-31,0.9943032337626748
1971-03-31,0.8981014913218304
1971-06-30,1.1618732555821372
1971-09-30,1.1927083333333333
1971-12-31,0.9682080924855493
1972-03-31,0.9192139737991266
1972-06-30,1.1867924528301885
1972-09-30,0.9956878195838861
1972-12-31,0.928627972067513
1973-03-31,1.0064102564102564
1973-06-30,0.891289638868509
1973-09-30,1.09629641998397
1973-12-31,1.1168141592920355
1974-03-31,0.9165402124430956
1974-06-30,1.10148849797023
1974-09-30,0.9301299745300777
1974-12-31,1.2043882081834534
1975-03-31,0.963302752293578
1975-06-30,0.9795221843003413
1975-09-30,1.011142061281337
1975-12-31,1.1140142517814726
1976-03-31,0.9710304295883811
1976-06-30,1.1971645801177615
1976-09-30,0.9656430395502049
1976-12-31,1.1590717745317418
1977-03-31,0.9526627218934911
1977-06-30,1.0886963745681877
1977-09-30,0.9108367626886145
1977-12-31,1.2025956013473351
1978-03-31,0.9527272727272726
1978-06-30,1.0291048139489027
1978-09-30,1.0756222738221828
1978-12-31,1.0765472312703581
1979-03-31,1.007527561409948
1979-06-30,1.1416184971098264
1979-09-30,1.2039711191335742
1979-12-31,0.9627906858197315
1980-03-31,1.006125574272588
1980-06-30,1.032069970845481
1980-09-30,0.9431279620853081
1980-12-31,1.1264044943820226
1981-03-31,0.9721527575845692
1981-06-30,1.141881083601557
1981-09-30,1.234493373796476
1981-12-31,1.2730148695973236
1982-03-31,0.976539589442815
1982-06-30,1.0442867491515133
1982-09-30,0.9656050955414013
1982-12-31,1.0091171617161716
1983-03-31,1.035216535433071
1983-06-30,1.08991825613079
1983-09-30,1.0230912556181375
1983-12-31,1.14526588845655
1984-03-31,1.0168067226890756
1984-06-30,1.0500865051903112
1984-09-30,1.2042031748029798
1984-12-31,1.1764705882352942
1985-03-31,1.0119110336629384
1985-06-30,1.0793328409650418
1985-09-30,0.9574618684207725
1985-12-31,1.269753848741579
1986-03-31,1.0455221036585367
1986-06-30,1.1454004399016688
1986-09-30,1.2560111785470984
1986-12-31,1.0660688324058754
1987-03-31,0.9808102345415779
1987-06-30,1.0108892921960073
1987-09-30,1.215832249763153
1987-12-31,0.96789366139863
1988-03-31,0.9130434782608695
1988-06-30,1.0378071833648392
1988-09-30,1.3654159869494291
1988-12-31,1.116776315789474
1989-03-31,0.9717402352257878
1989-06-30,1.209014019765571
1989-09-30,0.9275348812080446
1989-12-31,1.0980700170839515
1990-03-31,1.0119072827979663
1990-06-30,0.946067415730337
1990-09-30,1.1186730133352711
1990-12-31,1.133122028526149
1991-03-31,0.9039348884901308
1991-06-30,1.0023501762632196
1991-09-30,1.0757097791798107
1991-12-31,0.8176701729851336
1992-03-31,0.9823232323232323
1992-06-30,0.9721763795771017
1992-09-30,0.9926675283356532
1992-12-31,1.0043731778425657
